local_entity	local_name	season	candidate_wikidata_id	candidate_label	confidence	status
MaxVerstappen	Max Verstappen	2022	Q2239218	Max Verstappen	1.0	auto
CharlesLeclerc	Charles Leclerc	2022	Q17541912	Charles Leclerc	1.0	auto
SergioPerez	Sergio Perez	2022	Q82805	Sergio Pérez	0.8	auto
GeorgeRussell	George Russell	2022	Q17319645	George Russell	1.0	auto
CarlosSainz	Carlos Sainz	2022	Q544856	Carlos Sainz Jr.	0.8	auto
LewisHamilton	Lewis Hamilton	2022	Q9673	Lewis Hamilton	1.0	auto
LandoNorris	Lando Norris	2022	Q22007193	Lando Norris	1.0	auto
EstebanOcon	Esteban Ocon	2022	Q15074165	Esteban Ocon	1.0	auto
FernandoAlonso	Fernando Alonso	2022	Q10514	Fernando Alonso	1.0	auto
ValtteriBottas	Valtteri Bottas	2022	Q138745	Valtteri Bottas	1.0	auto
DanielRicciardo	Daniel Ricciardo	2022	Q82816	Daniel Ricciardo	1.0	auto
SebastianVettel	Sebastian Vettel	2022	Q42311	Sebastian Vettel	1.0	auto
KevinMagnussen	Kevin Magnussen	2022	Q1740212	Kevin Magnussen	1.0	auto
PierreGasly	Pierre Gasly	2022	Q11816647	Pierre Gasly	1.0	auto
LanceStroll	Lance Stroll	2022	Q16238921	Lance Stroll	1.0	auto
MickSchumacher	Mick Schumacher	2022	Q18119599	Mick Schumacher	1.0	auto
YukiTsunoda	Yuki Tsunoda	2022	Q59209579	Yuki Tsunoda	1.0	auto
ZhouGuanyu	Zhou Guanyu	2022	Q17327107	Zhou Guanyu	1.0	auto
AlexanderAlbon	Alexander Albon	2022	Q16149172	Alexander Albon	1.0	auto
NicholasLatifi	Nicholas Latifi	2022	Q8898994	Nicholas Latifi	1.0	auto
NyckDeVries	Nyck De Vries	2022	Q771382	Nyck de Vries	1.0	auto
NicoHulkenberg	Nico Hulkenberg	2022	Q76547	Nico Hülkenberg	0.8	auto
MaxVerstappen	Max Verstappen	2023	Q2239218	Max Verstappen	1.0	auto
SergioPerez	Sergio Perez	2023	Q82805	Sergio Pérez	0.8	auto
LewisHamilton	Lewis Hamilton	2023	Q9673	Lewis Hamilton	1.0	auto
FernandoAlonso	Fernando Alonso	2023	Q10514	Fernando Alonso	1.0	auto
CharlesLeclerc	Charles Leclerc	2023	Q17541912	Charles Leclerc	1.0	auto
LandoNorris	Lando Norris	2023	Q22007193	Lando Norris	1.0	auto
CarlosSainz	Carlos Sainz	2023	Q544856	Carlos Sainz Jr.	0.8	auto
GeorgeRussell	George Russell	2023	Q17319645	George Russell	1.0	auto
OscarPiastri	Oscar Piastri	2023	Q28741262	Oscar Piastri	1.0	auto
LanceStroll	Lance Stroll	2023	Q16238921	Lance Stroll	1.0	auto
PierreGasly	Pierre Gasly	2023	Q11816647	Pierre Gasly	1.0	auto
EstebanOcon	Esteban Ocon	2023	Q15074165	Esteban Ocon	1.0	auto
