local_entity	local_name	season	candidate_wikidata_id	candidate_label	confidence	status
LewisHamilton	Lewis Hamilton	2017	Q9673	Lewis Hamilton	1.0	auto
SebastianVettel	Sebastian Vettel	2017	Q42311	Sebastian Vettel	1.0	auto
ValtteriBottas	Valtteri Bottas	2017	Q138745	Valtteri Bottas	1.0	auto
KimiRäikkönen	Kimi Räikkönen	2017	Q11192	Kimi Räikkönen	1.0	auto
DanielRicciardo	Daniel Ricciardo	2017	Q82816	Daniel Ricciardo	1.0	auto
MaxVerstappen	Max Verstappen	2017	Q2239218	Max Verstappen	1.0	auto
SergioPerez	Sergio Perez	2017	Q82805	Sergio Pérez	0.8	auto
EstebanOcon	Esteban Ocon	2017	Q15074165	Esteban Ocon	1.0	auto
CarlosSainz	Carlos Sainz	2017	Q544856	Carlos Sainz Jr.	0.8	auto
NicoHulkenberg	Nico Hulkenberg	2017	Q76547	Nico Hülkenberg	0.8	auto
FelipeMassa	Felipe Massa	2017	Q82652	Felipe Massa	1.0	auto
LanceStroll	Lance Stroll	2017	Q16238921	Lance Stroll	1.0	auto
RomainGrosjean	Romain Grosjean	2017	Q82742	Romain Grosjean	1.0	auto
KevinMagnussen	Kevin Magnussen	2017	Q1740212	Kevin Magnussen	1.0	auto
FernandoAlonso	Fernando Alonso	2017	Q10514	Fernando Alonso	1.0	auto
JolyonPalmer	Jolyon Palmer	2017	Q714365	Jolyon Palmer	1.0	auto
PascalWehrlein	Pascal Wehrlein	2017	Q85762	Pascal Wehrlein	1.0	auto
PierreGasly	Pierre Gasly	2017	Q11816647	Pierre Gasly	1.0	auto
AntonioGiovinazzi	Antonio Giovinazzi	2017	Q7084843	Antonio Giovinazzi	1.0	auto
BrendonHartley	Brendon Hartley	2017	Q361113	Brendon Hartley	1.0	auto
LewisHamilton	Lewis Hamilton	2018	Q9673	Lewis Hamilton	1.0	auto
SebastianVettel	Sebastian Vettel	2018	Q42311	Sebastian Vettel	1.0	auto
KimiRäikkönen	Kimi Räikkönen	2018	Q11192	Kimi Räikkönen	1.0	auto
MaxVerstappen	Max Verstappen	2018	Q2239218	Max Verstappen	1.0	auto
ValtteriBottas	Valtteri Bottas	2018	Q138745	Valtteri Bottas	1.0	auto
DanielRicciardo	Daniel Ricciardo	2018	Q82816	Daniel Ricciardo	1.0	auto
NicoHulkenberg	Nico Hulkenberg	2018	Q76547	Nico Hülkenberg	0.8	auto
SergioPerez	Sergio Perez	2018	Q82805	Sergio Pérez	0.8	auto
KevinMagnussen	Kevin Magnussen	2018	Q1740212	Kevin Magnussen	1.0	auto
CarlosSainz	Carlos Sainz	2018	Q544856	Carlos Sainz Jr.	0.8	auto
FernandoAlonso	Fernando Alonso	2018	Q10514	Fernando Alonso	1.0	auto
EstebanOcon	Esteban Ocon	2018	Q15074165	Esteban Ocon	1.0	auto
CharlesLeclerc	Charles Leclerc	2018	Q17541912	Charles Leclerc	1.0	auto
RomainGrosjean	Romain Grosjean	2018	Q82742	Romain Grosjean	1.0	auto
PierreGasly	Pierre Gasly	2018	Q11816647	Pierre Gasly	1.0	auto
LanceStroll	Lance Stroll	2018	Q16238921	Lance Stroll	1.0	auto
BrendonHartley	Brendon Hartley	2018	Q361113	Brendon Hartley	1.0	auto
LewisHamilton	Lewis Hamilton	2019	Q9673	Lewis Hamilton	1.0	auto
ValtteriBottas	Valtteri Bottas	2019	Q138745	Valtteri Bottas	1.0	auto
MaxVerstappen	Max Verstappen	2019	Q2239218	Max Verstappen	1.0	auto
CharlesLeclerc	Charles Leclerc	2019	Q17541912	Charles Leclerc	1.0	auto
SebastianVettel	Sebastian Vettel	2019	Q42311	Sebastian Vettel	1.0	auto
CarlosSainz	Carlos Sainz	2019	Q544856	Carlos Sainz Jr.	0.8	auto
PierreGasly	Pierre Gasly	2019	Q11816647	Pierre Gasly	1.0	auto
AlexanderAlbon	Alexander Albon	2019	Q16149172	Alexander Albon	1.0	auto
DanielRicciardo	Daniel Ricciardo	2019	Q82816	Daniel Ricciardo	1.0	auto
SergioPerez	Sergio Perez	2019	Q82805	Sergio Pérez	0.8	auto
LandoNorris	Lando Norris	2019	Q22007193	Lando Norris	1.0	auto
KimiRäikkönen	Kimi Räikkönen	2019	Q11192	Kimi Räikkönen	1.0	auto
NicoHulkenberg	Nico Hulkenberg	2019	Q76547	Nico Hülkenberg	0.8	auto
LanceStroll	Lance Stroll	2019	Q16238921	Lance Stroll	1.0	auto
KevinMagnussen	Kevin Magnussen	2019	Q1740212	Kevin Magnussen	1.0	auto
AntonioGiovinazzi	Antonio Giovinazzi	2019	Q7084843	Antonio Giovinazzi	1.0	auto
RomainGrosjean	Romain Grosjean	2019	Q82742	Romain Grosjean	1.0	auto
GeorgeRussell	George Russell	2019	Q17319645	George Russell	1.0	auto
LewisHamilton	Lewis Hamilton	2020	Q9673	Lewis Hamilton	1.0	auto
ValtteriBottas	Valtteri Bottas	2020	Q138745	Valtteri Bottas	1.0	auto
MaxVerstappen	Max Verstappen	2020	Q2239218	Max Verstappen	1.0	auto
SergioPerez	Sergio Perez	2020	Q82805	Sergio Pérez	0.8	auto
DanielRicciardo	Daniel Ricciardo	2020	Q82816	Daniel Ricciardo	1.0	auto
CarlosSainz	Carlos Sainz	2020	Q544856	Carlos Sainz Jr.	0.8	auto
AlexanderAlbon	Alexander Albon	2020	Q16149172	Alexander Albon	1.0	auto
CharlesLeclerc	Charles Leclerc	2020	Q17541912	Charles Leclerc	1.0	auto
LandoNorris	Lando Norris	2020	Q22007193	Lando Norris	1.0	auto
PierreGasly	Pierre Gasly	2020	Q11816647	Pierre Gasly	1.0	auto
LanceStroll	Lance Stroll	2020	Q16238921	Lance Stroll	1.0	auto
EstebanOcon	Esteban Ocon	2020	Q15074165	Esteban Ocon	1.0	auto
SebastianVettel	Sebastian Vettel	2020	Q42311	Sebastian Vettel	1.0	auto
NicoHulkenberg	Nico Hulkenberg	2020	Q76547	Nico Hülkenberg	0.8	auto
KimiRäikkönen	Kimi Räikkönen	2020	Q11192	Kimi Räikkönen	1.0	auto
AntonioGiovinazzi	Antonio Giovinazzi	2020	Q7084843	Antonio Giovinazzi	1.0	auto
GeorgeRussell	George Russell	2020	Q17319645	George Russell	1.0	auto
